id,decision_summary,cluster,historical_intent,historical_status,original_problem,assumptions,observed_state,current_evidence,existing_coverage,first_pass_observation,inference,recommendation,disposition,target_artifact,confidence,kayden_required,decision_status,source_ids,source_files,first_pass_disposition,first_pass_target
R050,A handoff is authored for a particular receiver and purpose,Continuity & handoff,"Select the relevant working slice, verified facts, exact next action, open decisions and exclusions. Reference existing owners instead of copying the whole transcript.",Historical skill contract; supporting owner direction,Authored transfer reduces rediscovery and preserves meaning that automatic summaries omit.,Historical local-only/checkpoint rules are narrowed by N/Q. Multiple notes are allowed; unsaved state and unpushed code are outside a confirmed saved-note recovery claim.,Controls select objective-scoped JSON notes and durable-owner reconciliation. S-046 runtime remains pending and S-048 remains planned. The cold-resume fixture passed its no-resumer rejection; no real host resume was run.,BLUEPRINT.md; LEXICON.md; workbench/docs/adr/0040-json-notepads-preserve-objective-continuity.md; workbench/specs/S-046-json-notepad-foundation/SPEC.md; workbench/specs/S-048-checkpoint-retirement/SPEC.md; workbench/sessions/.gitignore,WB-0035 WB-0040,A `handoff` skill exists in the personal home only; no Workbench-side handoff contract.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,ADR-0040 and S-046 already require separately authored destination-specific handoffs. The absence of a bundled handoff skill is not absence of the contract.,ALREADY COVERED,ADR-0040; S-046,Medium,False,Historical skill contract; supporting owner direction (historical source status),H-HANDOFF; G-6a9ddf7c,evidence/h-handoff.md; evidence/g-6a9ddf7c.md,MERGE WITH CAND-A,CAND-A
R051,Checkpointing and handoff are not session termination,Continuity & handoff,"A checkpoint preserves resumability; a handoff can be prepared early, refreshed or used for a spin-off while the original session continues.",Historical skill contract; owner acceptance not established,Treating either as a mandatory final action makes them arrive after context has degraded and stops useful work unnecessarily.,Historical local-only/checkpoint rules are narrowed by N/Q. Multiple notes are allowed; unsaved state and unpushed code are outside a confirmed saved-note recovery claim.,Controls select objective-scoped JSON notes and durable-owner reconciliation. S-046 runtime remains pending and S-048 remains planned. The cold-resume fixture passed its no-resumer rejection; no real host resume was run.,BLUEPRINT.md; LEXICON.md; workbench/docs/adr/0040-json-notepads-preserve-objective-continuity.md; workbench/specs/S-046-json-notepad-foundation/SPEC.md; workbench/specs/S-048-checkpoint-retirement/SPEC.md; workbench/sessions/.gitignore,-,"RESOLVED 2026-09-07: the durable boundary becomes the promotion operation, not a checkpoint artifact. sessions/checkpoints retires as an active collection and freezes as read-only history; notepads and handoffs stay temporary sources.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","The original item is about save/handoff not terminating a session. Preserve that distinction; Q is a later explicit decision about durable promotion, not a rewrite of what R051 historically said.",KEEP - DOC,RUNBOOK.md; CAND-Q,High,False,Historical nontermination meaning retained; later CAND-Q owner decision separately recorded,H-HANDOFF,evidence/h-handoff.md,RESOLVED,ADR (CAND-Q)
R052,Preserve the entire question inventory and stable IDs,Continuity & handoff,"Keep original question identities, branches, locked answers and open decisions when merging or resuming grilling. A short current-status list does not replace the complete source.",Accepted,Earlier recovery attempts replaced dozens of decisions with a small subset and repeatedly re-asked settled questions.,Historical local-only/checkpoint rules are narrowed by N/Q. Multiple notes are allowed; unsaved state and unpushed code are outside a confirmed saved-note recovery claim.,Controls select objective-scoped JSON notes and durable-owner reconciliation. S-046 runtime remains pending and S-048 remains planned. The cold-resume fixture passed its no-resumer rejection; no real host resume was run.,BLUEPRINT.md; LEXICON.md; workbench/docs/adr/0040-json-notepads-preserve-objective-continuity.md; workbench/specs/S-046-json-notepad-foundation/SPEC.md; workbench/specs/S-048-checkpoint-retirement/SPEC.md; workbench/sessions/.gitignore,-,ADR-0040 requires preserving corrections but not stable question identity across merges.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Preserve complete source IDs, branches, corrections and statuses. A short derived current view must link to retained source rather than replace it.",MERGE WITH ADR-0040,ADR-0040; S-046,MediumHigh,False,Accepted (historical source status),D-GP; H-SC; C-019f77b1-L9,evidence/d-gp.md; evidence/h-sc.md; evidence/c-019f77b1-l9.md,MERGE WITH ADR-0040,ADR-0040 amendment
R053,One live session record; duplicates must declare supersession,Continuity & handoff,Merge related interviews when requested and make the active resume source unambiguous. Retain truthful superseded evidence without letting stale copies silently become the next entrypoint.,Accepted,The skill's old diary path repeatedly led agents to an obsolete notepad.,Historical local-only/checkpoint rules are narrowed by N/Q. Multiple notes are allowed; unsaved state and unpushed code are outside a confirmed saved-note recovery claim.,Controls select objective-scoped JSON notes and durable-owner reconciliation. S-046 runtime remains pending and S-048 remains planned. The cold-resume fixture passed its no-resumer rejection; no real host resume was run.,BLUEPRINT.md; LEXICON.md; workbench/docs/adr/0040-json-notepads-preserve-objective-continuity.md; workbench/specs/S-046-json-notepad-foundation/SPEC.md; workbench/specs/S-048-checkpoint-retirement/SPEC.md; workbench/sessions/.gitignore,WB-0040,"VERIFIED DEFECT: installed personal checkpoint/make-it-so/grilling skills still name `workbench/sessions/grilling diary/`, which does not exist; manifest declares `workbench/sessions/grilling`.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","The original requires an unambiguous active resume source, not exactly one note. S-046 explicitly permits several linked notes per objective; stale path/source migration is a separate F concern.",KEEP - CONTRACT,S-046; CAND-F,High,False,OWNER DECIDED; promotion/implementation pending,H-SC; H-DG,evidence/h-sc.md; evidence/h-dg.md,KEEP - CONTRACT,S-046 schema + installed-skill repair
R054,"Cross-host transport is explicit, not incidental Git sync",Continuity & handoff,"The owner wants continuity across machines. Historical live-note transfer used explicit handoff, while the new JSON ADR leaves transport unselected.",Open choice,Local persistence and cross-host recoverability are different guarantees.,Historical local-only/checkpoint rules are narrowed by N/Q. Multiple notes are allowed; unsaved state and unpushed code are outside a confirmed saved-note recovery claim.,Controls select objective-scoped JSON notes and durable-owner reconciliation. S-046 runtime remains pending and S-048 remains planned. The cold-resume fixture passed its no-resumer rejection; no real host resume was run.,BLUEPRINT.md; LEXICON.md; workbench/docs/adr/0040-json-notepads-preserve-objective-continuity.md; workbench/specs/S-046-json-notepad-foundation/SPEC.md; workbench/specs/S-048-checkpoint-retirement/SPEC.md; workbench/sessions/.gitignore,WB-0040,"RESOLVED 2026-09-07: a separate private `workbench_sessions` Git repository keyed by a stable per-Workbench identity, synced by a shared tool. Optional capability; ordinary local operation stays independent of it.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Direct owner message selects private Git transport and its boundaries. Existing local-only controls and runtime have not yet implemented this choice.,KEEP - ADR,CAND-N,High,False,OWNER DECIDED; promotion/implementation pending,H-HANDOFF; WB-0040; C-019f3b12-L6,evidence/h-handoff.md; evidence/wb-0040.md; evidence/c-019f3b12-l6.md,RESOLVED,ADR (CAND-N)
R055,Durable evidence must survive its stated recovery boundary,Continuity & handoff,A local ignored file is not evidence recoverable from a clean clone. A pushed commit is not an installed/runtime result. State exactly what each reference preserves.,Accepted,"Claims of durability often exceeded the actual file, branch or deployment boundary.",Historical local-only/checkpoint rules are narrowed by N/Q. Multiple notes are allowed; unsaved state and unpushed code are outside a confirmed saved-note recovery claim.,Controls select objective-scoped JSON notes and durable-owner reconciliation. S-046 runtime remains pending and S-048 remains planned. The cold-resume fixture passed its no-resumer rejection; no real host resume was run.,BLUEPRINT.md; LEXICON.md; workbench/docs/adr/0040-json-notepads-preserve-objective-continuity.md; workbench/specs/S-046-json-notepad-foundation/SPEC.md; workbench/specs/S-048-checkpoint-retirement/SPEC.md; workbench/sessions/.gitignore,WB-0028 WB-0031,ADR-0028 covers the untracked case; release-vs-installed-vs-running is only in AU-0004 downstream.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Each evidence claim names the state it proves. Historical adoption provenance cannot stand in for current tools, skills, runtime or downstream acceptance.",MERGE WITH ADR-PROPOSED-H,CAND-H,High,False,Accepted (historical source status),WB-0028; D-FLIGHT,evidence/wb-0028.md; evidence/d-flight.md,MERGE WITH CAND-H,CAND-H
R056,Small reusable primitives and thin entrypoints,Skill composition & bundle,"Build skills as reusable behavioral primitives composed by thin entrypoints and compound flows, rather than restating each child's procedure inside every orchestrator.",Strong preference,The owner repeatedly sought reusable skills to replace repeated prompting; unreachable children caused silent composition collapse.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,-,17-skill closed bundle exists; no composition contract is written for it.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Composition and source ownership can change independently. Preserve reusable primitives and distinguish invocation from authorization; do not adopt a metadata schema merely because one was suggested.,MERGE WITH ADR-PROPOSED-E,CAND-E,Medium,False,Strong preference (historical source status),G-6a646af5; G-6a9d38cd,evidence/g-6a646af5.md; evidence/g-6a9d38cd.md,MERGE WITH CAND-E,CAND-E
R057,"Invocation, composition and authorization are separate axes",Skill composition & bundle,"Owner-facing invocation, a parent skill's ability to reach a child, and authority for the child's effects must be handled separately.",Strong preference,Gating all primitives broke composition; exposing an owner command let the model appear to authorize itself.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,-,`promote` uses disable-model-invocation:true; the axis distinction is real but undocumented upstream.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Composition and source ownership can change independently. Preserve reusable primitives and distinguish invocation from authorization; do not adopt a metadata schema merely because one was suggested.,MERGE WITH ADR-PROPOSED-E,CAND-E,Medium,False,Strong preference (historical source status),G-6a646af5; C-019f6974-L93,evidence/g-6a646af5.md; evidence/c-019f6974-l93.md,MERGE WITH CAND-E,CAND-E
R058,A primitive is agnostic to its first caller,Skill composition & bundle,"Reusable checkpoint, save, navigation and handoff primitives should accept the smallest meaningful scope rather than hardcoding one caller's paths or data shape.",Strong preference,A checkpoint implementation tied to grilling could not support other work.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,-,`save` is caller-agnostic by design in the personal home; the rule is not stated upstream.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Composition and source ownership can change independently. Preserve reusable primitives and distinguish invocation from authorization; do not adopt a metadata schema merely because one was suggested.,MERGE WITH ADR-PROPOSED-E,CAND-E,Medium,False,Strong preference (historical source status),G-6a646af5; H-HANDOFF,evidence/g-6a646af5.md; evidence/h-handoff.md,MERGE WITH CAND-E,CAND-E
R059,Compose within existing authorization without repeating approval,Skill composition & bundle,"A child may use the parent's already authorized scope; a genuinely new effect, destination or consequential decision needs its own resolution.",Strong preference,"Repeated approval at every primitive prevents useful composition, while unlimited inherited authority is unsafe.","Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,WB-0027,ADR-0027 gives the authority order but no scope-inheritance stop condition for composed skills.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Composition and source ownership can change independently. Preserve reusable primitives and distinguish invocation from authorization; do not adopt a metadata schema merely because one was suggested.,MERGE WITH ADR-PROPOSED-E,CAND-E,Medium,False,Strong preference (historical source status),G-6a646af5; B-BOUNDARIES,evidence/g-6a646af5.md; evidence/b-boundaries.md,MERGE WITH CAND-E,CAND-E
R060,Skill callability needs verification at the host boundary,Skill composition & bundle,"Check that invoked children are actually discoverable and callable on supported providers, and demonstrate composition rather than trusting descriptive prose.",Strong preference,"A skill could exist in source but not in discovery, or an orchestrator could paraphrase it instead of invoking it.","Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,WB-0005,"tools/test-symlink-invocation.mjs and test-skill-catalog.mjs check presence and discovery roots, not that a parent actually invokes a child.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Host callability is a tested-capability claim under P. E explains composition; discovery/text tests alone do not establish invocation.,MERGE WITH ADR-PROPOSED-P,CAND-P; CAND-E,MediumHigh,False,OWNER DECIDED; promotion/implementation pending,G-6a646af5; D-CIC,evidence/g-6a646af5.md; evidence/d-cic.md,KEEP - ADR,CAND-E
R061,Skill metadata must distinguish invocation from mere mention,Skill composition & bundle,"A prose mention may recommend, describe or warn about a skill without calling it; a checker must not treat every name as a required invocation edge.",Open choice,The proposed grep-based dependency test would reject legitimate routers and documentation.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,-,"The invokes/routes/reads schema was an assistant proposal, never owner-accepted; a grep-based edge test would fail legitimate routers.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Keep the valid distinction between mention, routing and invocation. Reject treating the assistant-proposed metadata/grep schema as accepted architecture; do not reject the whole historical concern.",KEEP - DOC,skills composition guidance; CAND-E,MediumHigh,False,Open choice (historical source status),G-6a646af5,evidence/g-6a646af5.md,REJECT,(problem retained in CAND-E)
R062,Skill names should avoid accidental everyday triggers,Skill composition & bundle,Choose discoverable names that compress useful behavior without firing merely because the owner uses an ordinary verb in conversation.,Strong preference,"The historical implement name was reported as overtriggering; later installations still use implement, so retirement was not a permanent settled outcome.","Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,-,"`implement` is still in the required bundle, so the historical retirement was not a settled outcome.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Retain the prior disposition, bounded by the original proposition and current evidence. `implement` is still in the required bundle, so the historical retirement was not a settled outcome.",KEEP - DOC,skills/README.md,Medium,False,Strong preference (historical source status),G-6a646af5,evidence/g-6a646af5.md,KEEP - DOC,skills/README.md
R063,Delete empty document stubs instead of implying completeness,Skill composition & bundle,A generated document should omit inapplicable sections rather than leave empty headings that appear complete to a later agent.,Strong preference,An empty stub can stop retrieval more effectively than an obviously missing section.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,-,"Cheap, checkable writing convention; no ADR-level constraint.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Omit inapplicable sections where appropriate. Do not generalize this to deleting required empty lanes, mandatory collections or intentional schema/template scaffolding.",KEEP - DOC,skills authoring guidance,High,False,Strong preference (historical source status),G-6a646af5; H-HANDOFF,evidence/g-6a646af5.md; evidence/h-handoff.md,KEEP - DOC,skills/README.md
R064,Stances change method without changing authority,Skill composition & bundle,"Builder, Auditor, Reviewer and Reconciler are portable approaches assigned by the SPEC/TASK. Loading a stance does not spawn a worker or transfer permission.",Accepted,Permanent role departments and mandatory role-change handoffs added bureaucracy to one agent's task.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,WB-0036,Four stance skills present in skills/ and in skillPolicy.required.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. Four stance skills present in skills/ and in skillPolicy.required.",ALREADY COVERED,ADR-0036,High,False,Accepted (historical source status),WB-0036; C-a9e38fdd-L87,evidence/wb-0036.md; evidence/c-a9e38fdd-l87.md,ALREADY COVERED,ADR-0036
R065,Grilling establishes shared understanding before promotion,Skill composition & bundle,Research facts before asking; expose the decision tree; ask one consequential question at a time with a recommendation; preserve the answer before continuing.,Accepted,The owner wanted to decide architecture without repeatedly supplying discoverable facts or recovering lost answers.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,WB-0035,grilling ships in the bundle; AGENTS forbids requiring it for routine decisions.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. grilling ships in the bundle; AGENTS forbids requiring it for routine decisions.",ALREADY COVERED,"ADR-0035, grilling skill",MediumHigh,False,Accepted (historical source status),C-019f68ef-L9; D-GP,evidence/c-019f68ef-l9.md; evidence/d-gp.md,ALREADY COVERED,"ADR-0035, grilling skill"
R066,Plan unknown work through decision tasks before implementation,Skill composition & bundle,"When architecture is unresolved, make the next bounded outcome an answered decision or experiment, not a fabricated implementation ticket with guessed requirements.",Strong preference,Large speculative plans made downstream execution look ready before prerequisites were understood.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,-,AGENTS already forbids manufacturing a queue; the positive pattern is unwritten.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Retain the prior disposition, bounded by the original proposition and current evidence. AGENTS already forbids manufacturing a queue; the positive pattern is unwritten.",KEEP - DOC,RUNBOOK / wayfinder,Medium,False,Strong preference (historical source status),C-8ee94cac-L42; C-8ee94cac-L51,evidence/c-8ee94cac-l42.md; evidence/c-8ee94cac-l51.md,KEEP - DOC,RUNBOOK / wayfinder
R067,Lifecycle stages remain independently usable skills,Skill composition & bundle,A guidebook composes separately invokable skills; each skill should work in its declared context without requiring the reader to adopt the entire guidebook as authority.,Accepted,The seven-stage workflow could not be exercised when stages existed only as prose or rigid orchestration.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,-,Flight stages live only in the personal skills home; the generic lesson belongs to CAND-E.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","The original proposition is generic independent skill usability, although its examples are Flight-specific. Preserve that reusable principle under E and leave the seven-stage machinery outside the core.",MERGE WITH ADR-PROPOSED-E,CAND-E,Medium,False,Accepted (historical source status),D-FLIGHT; C-01a04a19-L9; C-01a04a99-L9,evidence/d-flight.md; evidence/c-01a04a19-l9.md; evidence/c-01a04a99-l9.md,MERGE WITH CAND-R,CAND-R
R068,One stable shared discovery home across providers,Skill composition & bundle,"Installed personal skills should remain discoverable outside GPT_OS through a stable shared home, with provider discovery routes pointing to it.",Accepted,The skill catalog disappeared or became project-scoped when a Foundry deployment or publisher changed.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,-,"RESOLVED 2026-09-07: three ownership scopes, two distribution tiers. KaydenClark/skills stays the canonical home for personally accepted skills and is optional from the product's view; global availability does not make a skill a Workbench feature.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.","Use the later direct answer: one selected global core version, compatibility range, room-local source and adapters, and removal of legacy duplicate core sources from the personal repository.",KEEP - ADR,CAND-F,High,False,OWNER DECIDED; promotion/implementation pending,C-fba9567e-L3; C-a9e38fdd-L152,evidence/c-fba9567e-l3.md; evidence/c-a9e38fdd-l152.md,RESOLVED,ADR (CAND-F)
R069,Bundle the portable core; install missing skills without overwriting custom ones,Skill composition & bundle,The Workbench ships its own core skill source. Installation fills missing core skills while preserving existing user-owned skills; an external shared-skills repository is not a required product dependency.,Accepted,The earlier external dependency made fresh setup incomplete and the publisher risked destroying customized skills.,"Source ownership, installed state and host discovery are different. F selects one global core release; old duplicate personal sources and equality-only version diagnostics are migration concerns.","17 source core skills are declared; promote/save are absent. Installer tests passed 12/12, including Git-owned and symlinked roots. README/Runbook refusal prose is stale; explicit replacement remains a separate path. No new compatibility-range implementation was verified.",skills/README.md; workbench/manifest.json; tools/core-skill-installer.mjs; tools/skill-presence.mjs; tools/test-core-skill-installer.mjs,WB-0036,"skills/ ships the core; normalSetup=presence-only, updates=explicit-only; test-core-skill-installer covers non-overwrite.",The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. skills/ ships the core; normalSetup=presence-only, updates=explicit-only; test-core-skill-installer covers non-overwrite.",ALREADY COVERED,"ADR-0036, skillPolicy",High,False,Accepted (historical source status),C-01a05af1-L394; C-01a05af1-L569; B-LAYOUT; G-6a9de4cc,evidence/c-01a05af1-l394.md; evidence/c-01a05af1-l569.md; evidence/b-layout.md; evidence/g-6a9de4cc.md,ALREADY COVERED,"ADR-0036, skillPolicy"
R070,"Genesis, adoption and upgrade are different operations","Adoption, upgrade & installed integrity","Creating a new room, adding the harness to an existing project and updating an installed harness have different input and preservation contracts.",Accepted,Treating an existing project like an empty template risks loss or repeated setup.,"Source release, installed generation, runtime and target containment require separate evidence; unavailable state must not be filled by inference.",Setup tools and distinct source/installed receipts exist. Adoption and upgrade recovery still use collections.checkpoints. Fidelity tests passed 15/15; this report does not certify a new upgrade or deployment.,RUNBOOK.md; tools/workbench-adoption.mjs; tools/workbench-upgrade.mjs; workbench/docs/adr/0031-runtime-tools-are-workbench-managed-in-the-tools-lane.md; workbench/specs/S-041-recorded-baseline-availability/SPEC.md; tools/control-fidelity.mjs,-,"genesis, adoption and update-harness are three separate skills with different contracts and no ADR stating why.","The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Different preconditions and allowed effects are a durable architectural choice. Link runtime ownership to ADR-0031; source validation is required for every consumed lane.,KEEP - ADR,CAND-G,High,False,Accepted (historical source status),C-019f6974-L145; C-019f6974-L165; C-019f5b18-L9,evidence/c-019f6974-l145.md; evidence/c-019f6974-l165.md; evidence/c-019f5b18-l9.md,KEEP - ADR,CAND-G
R071,Adopt real projects without erasing their history,"Adoption, upgrade & installed integrity",Reconcile an existing project's controls and arbitrary prior content into the Workbench structure with a lossless migration and explicit provenance.,Accepted,"The harness should augment working projects, not require a blank repository or replace their domain knowledge.","Source release, installed generation, runtime and target containment require separate evidence; unavailable state must not be filled by inference.",Setup tools and distinct source/installed receipts exist. Adoption and upgrade recovery still use collections.checkpoints. Fidelity tests passed 15/15; this report does not certify a new upgrade or deployment.,RUNBOOK.md; tools/workbench-adoption.mjs; tools/workbench-upgrade.mjs; workbench/docs/adr/0031-runtime-tools-are-workbench-managed-in-the-tools-lane.md; workbench/specs/S-041-recorded-baseline-availability/SPEC.md; tools/control-fidelity.mjs,WB-0031 WB-0032,workbench-adoption.mjs migrate implements lossless migration; the invariant has no ADR.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Different preconditions and allowed effects are a durable architectural choice. Link runtime ownership to ADR-0031; source validation is required for every consumed lane.,MERGE WITH ADR-PROPOSED-G,CAND-G,High,False,Accepted (historical source status),C-01a05a93-L114; WB-0032,evidence/c-01a05a93-l114.md; evidence/wb-0032.md,MERGE WITH CAND-G,CAND-G
R072,Managed runtime files have one owner and explicit update receipts,"Adoption, upgrade & installed integrity","Install portable runtime tools in the manifest tools lane with release, commit and per-file hashes. Preserve application tools; updates back up managed files and record rollback.",Accepted,Shared ownership and symlinked product dependencies made upgrades unsafe and consumers nonportable.,"Source release, installed generation, runtime and target containment require separate evidence; unavailable state must not be filled by inference.",Setup tools and distinct source/installed receipts exist. Adoption and upgrade recovery still use collections.checkpoints. Fidelity tests passed 15/15; this report does not certify a new upgrade or deployment.,RUNBOOK.md; tools/workbench-adoption.mjs; tools/workbench-upgrade.mjs; workbench/docs/adr/0031-runtime-tools-are-workbench-managed-in-the-tools-lane.md; workbench/specs/S-041-recorded-baseline-availability/SPEC.md; tools/control-fidelity.mjs,WB-0031,tools lane with release/commit/per-file hashes; root tools/ stays application-owned. Dogfooded here.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. tools lane with release/commit/per-file hashes; root tools/ stays application-owned. Dogfooded here.",ALREADY COVERED,ADR-0031,High,False,Accepted (historical source status),WB-0031,evidence/wb-0031.md,ALREADY COVERED,ADR-0031
