ID,Decision summary,Cluster,Current evidence,Existing coverage,Disposition,Target artifact,Confidence,Kayden required?
R144,Heartbeat is an authoritative snapshot plus observer acknowledgement,Extension architecture (Foundry/CIC/Audit),Heartbeat cadences explicitly not generalizable.,-,MERGE WITH CAND-R,CAND-R,High,no
R145,No silent activation,Extension architecture (Foundry/CIC/Audit),"No-silent-activation: accepted intent, delivery deferred; keep both facts.",-,MERGE WITH CAND-R,CAND-R,High,no
R146,"Projection is a shared cached entry surface, with visible staleness",Extension architecture (Foundry/CIC/Audit),TASKBOARD is a generated projection; render-drift is a registered selection-blocking code. Projection cannot authorize.,WB-0042,ALREADY COVERED,"ADR-0020, ADR-0029",Medium,no
R147,Flight Rack aggregates counts and preserves individual history,Extension architecture (Foundry/CIC/Audit),Flight Rack visual data model.,-,MERGE WITH CAND-R,CAND-R,High,no
R148,Accessibility is part of operational telemetry,Extension architecture (Foundry/CIC/Audit),Accessibility in telemetry; retain for any future interface.,-,MERGE WITH CAND-R,CAND-R,High,no
R149,Owner-visible acceptance goes beyond server health,Extension architecture (Foundry/CIC/Audit),Owner-visible acceptance beyond server health is the outcome-acceptance rule CAND-C states.,-,MERGE WITH CAND-C,CAND-C,Medium,no
R150,Python is the owner's stated preferred runtime language,Open owner choices,"RESOLVED 2026-09-07: runtime stays Node. Basis is format fit - JSON is JavaScript's native object syntax, parsed as first-class values with no conversion step, serving ADR-0040/S-046. Verified: 61 .mjs tools; Python is exactly the evals lane plus the tools/check-append-only.py pair.",-,RESOLVED,ADR (CAND-O),High,no
R151,Native provider adapters and hard hooks need an explicit choice,Open owner choices,"RESOLVED 2026-09-07: a small minimum capability contract verified in the actual configured environment, with operational capability, machine enforcement and agent instruction-following kept as separate evidence classes. Provider-native adapters stay outside the core commitment; unavailable or inconclusive checks stay unverified.",WB-0005,RESOLVED,ADR (CAND-P),High,no
R152,"Parallel specialist ensembles were explored, not made universal",Open owner choices,ADR-0036's four stances deliberately replace agent departments; AGENTS states loading a stance never spawns an agent.,-,SUPERSEDED,ADR-0036,Med-High,no
R153,Track total delegated token/cost burden,Open owner choices,No delegated-cost measurement exists; no cap was ever settled.,-,KEEP - DOC,evals / outcomes README,Medium,no
R154,Review stale projects before archiving,Open owner choices,Portfolio hygiene is not a single-room concern; the two-week threshold was conversational.,-,OUT OF SCOPE,Coordinator/extension,High,no
R155,Governance policy as data with a derived matrix,Open owner choices,GO-0004/GO-0006 clearance policy; no upstream consumer.,GO-0004 GO-0006,OUT OF SCOPE,GPT_OS,High,no
R156,Governance verbs name operations; the complete verb catalog remained open,Open owner choices,GO-0007 verb catalog left open downstream.,GO-0007,OUT OF SCOPE,GPT_OS,High,no
R157,Job Orders link their sources and bound authority by intersection,Open owner choices,GO-0021 already removed the ordinary-work requirement; upstream ADR-0015 keeps it out of the base.,GO-0009 GO-0010 GO-0011 GO-0012,OUT OF SCOPE,GPT_OS,High,no
R158,"Do not import unresolved Flightbook, Issues or sandbox choices",Open owner choices,Explicitly unresolved in their own records; importing them would manufacture decisions.,-,OUT OF SCOPE,GPT_OS / Foundry,High,no
R159,Retired producer topology and permanent role cages are history,Open owner choices,Retained as dated lineage inside CAND-R; never revived as binding.,WB-0026 WB-0036,SUPERSEDED,"ADR-0026, ADR-0036",High,no
R160,"Plane passage is selective, not a universal six-stop workflow",Authority & governance planes,"AGENTS: planes classify 'claims and their use in one operation, never whole files'. No six-stop workflow exists.",WB-0001 WB-0025,ALREADY COVERED,"ADR-0001, ADR-0025",High,no
R161,Resolve contradictions openly before rewriting the owning claim,Authority & governance planes,AGENTS State Resolution: 'name the condition instead of picking a winner'.,WB-0027,ALREADY COVERED,ADR-0027,High,no
R162,Promote is a decision-only operation; save is agnostic,Skill composition & bundle,"RESOLVED 2026-09-07: promote and save become Workbench core dependencies, reconciled rather than copied. The GP-22/23/62 contract survives; its Foundry, Job Order and Markdown-notepad assumptions do not.",-,RESOLVED,ADR (CAND-F),High,no
R163,"Use repeatable process, not identical generated wording",Skill composition & bundle,Useful evaluation distinction; nothing upstream states it.,-,KEEP - DOC,skills/README.md,Med-High,no
R164,Operational knowledge is part of docs maintenance,"Records, ownership & navigation",The ownership table routes durable knowledge to workbench/wiki/ with 'never copied task state'.,WB-0018 WB-0035,ALREADY COVERED,AGENTS.md docs table,High,no
R165,"An Example Workbench is a conformance reference, not unexplained imitation","Evidence, review & evaluation",Example_Workbench verified present; Audit S-009 does v3.1.2 conformance. The reference/deviation semantics have no upstream owner.,-,MERGE WITH CAND-K,CAND-K,Med-High,no
R166,Declared support needs a real consumer and fresh-clone proof,"Adoption, upgrade & installed integrity",ADR-0038 requires fresh-agent setup proof; the general 'declared support needs a real consumer' rule is unstated.,WB-0031 WB-0038,MERGE WITH CAND-H,CAND-H,High,no
R167,A connected Foundry can span multiple factories and one shared service layer,Extension architecture (Foundry/CIC/Audit),Connected-Foundry ruling; extension topology.,-,MERGE WITH CAND-R,CAND-R,High,no
R168,Owner interfaces should show the next actionable issue and its evidence,Extension architecture (Foundry/CIC/Audit),Audit_Workbench S-003 decision-first-website owns the owner-facing surface.,-,OUT OF SCOPE,Audit_Workbench,High,no
R169,Unavailable baseline is a third state with evidence,"Adoption, upgrade & installed integrity",S-041 is complete and records an explicit owner choice (record-and-proceed) with no ADR carrying it.,-,KEEP - ADR,CAND-J,High,no
R170,Template customization must preserve fixed control wording,"Adoption, upgrade & installed integrity",S-034 produces the fidelity report; the Forbidden-to-Allowed reversal is the motivating failure.,-,MERGE WITH CAND-K,CAND-K,High,no
R171,Installed skills carry their own generation and content identity,"Adoption, upgrade & installed integrity",S-031 installed-skill-generation complete; doctor emits 33 skill-generation-unknown findings right now on this very room.,-,MERGE WITH CAND-H,CAND-H,High,no
R172,Historical adoption provenance is distinct from current component provenance,"Adoption, upgrade & installed integrity","VERIFIED live: manifest provenance.source.release v3.1.0 vs workbenchVersion v3.1.3 is reported as unverified-provenance, exactly the distinction this states.",-,MERGE WITH CAND-H,CAND-H,High,no
R173,Verify runtime integrity from inside the installed room,"Adoption, upgrade & installed integrity",S-039 installed-runtime-integrity complete.,-,MERGE WITH CAND-H,CAND-H,High,no
R174,Presence-only migration must not acquire replacement effects,"Adoption, upgrade & installed integrity",S-045 TK-001 settled it in code: tools/skill-presence.mjs now holds the single presence judgment shared by the installer and both gates. The rationale has no ADR.,-,MERGE WITH CAND-G,CAND-G,High,no
R175,Repair installed state explicitly without reinstalling or rewriting content,"Adoption, upgrade & installed integrity",S-042 installed-state-repair complete.,-,MERGE WITH CAND-G,CAND-G,High,no
R176,"Line endings are portable record syntax, not semantic state","Adoption, upgrade & installed integrity",S-037 complete with tests; the invariant binds every future record parser and has no ADR.,-,KEEP - ADR,CAND-L,Med-High,no
R177,"Diagnostics must communicate consequence, not just severity",Authority & governance planes,VERIFIED: doctor prints 'informational (33) - reported only; nothing is blocked' and each line names its effect.,WB-0029,ALREADY COVERED,"ADR-0029, S-043",High,no
R178,Classify legacy rooms read-only and expose all setup gaps together,"Adoption, upgrade & installed integrity",S-044 legacy-room-classification complete.,-,MERGE WITH CAND-G,CAND-G,High,no
R179,Open follow-ups must remain reachable outside completed specs,"Records, ownership & navigation","VERIFIED: S-045 was opened because seven follow-ups survived only as prose in completed specs, and is now complete - the invariant worked once given an owner, but nothing records it.",WB-0035 WB-0042,KEEP - ADR,CAND-S,High,no
R180,"Tests should pin the intended invariant, not incidental global state","Evidence, review & evaluation","AGENTS mandates red/green TDD; the 'pin the invariant, not incidental global state' lesson has no owner.",-,MERGE WITH CAND-C,CAND-C,Med-High,no
R181,"Finish file-changing work with verified, recoverable, reviewable state",Delivery without governance tax,AGENTS Branch Completion carries the end-to-end expectation; ADR-0034/0037 narrow the early every-message formulation.,WB-0034 WB-0037,ALREADY COVERED,"AGENTS.md, ADR-0037",High,no
